"Index","SourceCommit","Date","Subject","Disposition","PortCommit","Notes"
"39","7730fd80c832da84d381e0e960e637c83ccf74a9","2026-08-27","Track album uploads in the browser","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"40","4ee9e8d70dfb9df16022a794be4e5c3675b66422","2026-08-27","Preserve JavaScript catch blocks in templates","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"41","0fa28f120cad2c4ebfe15f3d2a6b007ab19711c8","2026-08-27","Document upload progress acceptance","not-applicable","","Private acceptance record"
"42","763e93400c6f9d7a4915c378b0b2d84519203f47","2026-08-27","Fix remaining PHP warnings and guest language control","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"43","7c92ec2b75379ad9fc704d0cfdfce2155efd4f0e","2026-08-27","Document final production compatibility fixes","not-applicable","","Private deployment record"
"44","8a41f11edb3e6651081130f5466fac33370f6a10","2026-08-27","Repair shoutbox and modernize admin overview","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"45","26066e78a2198c7901d3827014ec6f3aff0e4b97","2026-08-27","Complete PHP 8 shoutbox compatibility","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"46","36e9ee35bbd7baa8b8f9778f1bd2e13636401978","2026-08-27","Use existing shoutbox smilie label","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"47","820c2c5e30fb62aead5003ab1ce9502396af8874","2026-08-27","Add database size production check","not-applicable","","Private acceptance-tool assertion; dashboard implementation is retained"
"48","98e84432541f0949c2e5791e050789fdf526e59d","2026-08-27","Refine portal shoutbox layout","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"49","6c5ef2774cf62b0e0b80c641d4094d3cd5d96585","2026-08-27","Fix remaining PHP 8 route warnings","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"50","564cbab428c59cb5582606970fc543d3e8fd8510","2026-08-27","Harden empty personal album rendering","ported","e4307e6f929d7d3fab9528ad9d5f3d1ccea61899",""
"51","5a800292788785e4b493b5651b9834ef4e4e6105","2026-08-27","Document shoutbox and warning cleanup","not-applicable","","Private acceptance record"
"52","d8421f8c4b8924d1b675216b7e8af6934b5b1b35","2026-08-28","Fix remaining PHP 8 admin and add-on errors","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"53","57f17a26b3ca6b81f536b92778cbb147396338f0","2026-08-28","Regenerate invalid ShortURL caches","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"54","203e776fb3d176175a8379b62430f7f36b25de35","2026-08-28","Initialize topic export runtime values","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"55","9a94198dc6c6b09b94764be9e7968a6c91ad96bf","2026-08-28","Fix news archive runtime warnings","ported","f48103e3b085aabdda67f3c16fa94ff4b8c58853",""
"56","fd171e8857fb0d2f3f67c8ff684165c98aa9b9f9","2026-08-28","Document legacy module cleanup deployment","not-applicable","","Private deployment record"
